catalog_no,product_name,cas,formula,molecular_weight,purity,category_l1,category_l2,product_class_id,synonyms,smiles,storage,research_goal,application,method,protocol,pmid_doi,vendor_evidence,confidence,overview,faq,seo_meta
SC8016,Biotin-11-dUTP,86303-25-5,C28H45N6O17P3S,862.7,≥ 95% (HPLC),nucleotides_nucleosides,,21,"[""Biotin-11-deoxyuridine-5'-triphosphate.""]",C1[C@@H]([C@H](O[C@H]1N2C=C(C(=O)NC2=O)/C=C/CNC(=O)CCCCCNC(=O)CCCC[C@H]3[C@@H]4[C@H](CS3)NC(=O)N4)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O,-20°C,,,,,,,,,,
SC8017,Biotin-16-dUTP,136632-31-0,C32H52N7O18P3S,947.8,≥ 90% (HPLC),nucleotides_nucleosides,,21,"[""Biotin-16-deoxyuridine-5'-triphosphate.""]",C1[C@@H]([C@H](O[C@H]1N2C=C(C(=O)NC2=O)/C=C/CNC(=O)CCCCCNC(=O)CCCNC(=O)CCCC[C@H]3[C@@H]4[C@H](CS3)NC(=O)N4)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O,-20°C,,,,,,,,,,
SC8018,Cy3-dUTP,,C43H56N5O21P3S2,,≥ 90% (HPLC),nucleotides_nucleosides,,21,"[""Cy3-deoxyuridine-5'-triphosphate"", ' Cyanine 3-dUTP']",,-20°C,,,,,,,,,,
SC8019,Cy5-dUTP,,C45H55N5O21P3S2,,≥ 90% (HPLC),nucleotides_nucleosides,,21,"[""Cy5-deoxyuridine-5'-triphosphate"", ' Cyanine 5-dUTP']",,-20°C,,,,,,,,,,
SC8020,Sulfo-Cy5 dUTP,,C50H61Li4N6O22P3S2,,≥ 90% (HPLC),nucleotides_nucleosides,,21,"[""Sulfo-Cyanine-deoxyuridine-5'-triphosphate"", ' Sulfo-Cy5-dUTP']",[Li+].[Li+].[Li+].[Li+].CC1(C2=C(C=CC(=C2)S(=O)(=O)[O-])[N+](=C1/C=C/C=C/C=C/3\C(C4=C(N3CCCCCC(=O)NCCCCCC(=O)NCC#CC5=CN(C(=O)NC5=O)C6CC(C(O6)COP(=O)([O-])OP(=O)([O-])OP(=O)(O)[O-])O)C=CC(=C4)S(=O)(=O)[O-])(C)C)C)C,-20°C,,,,,,,,,,
SC8021,5‑Propargylamino‑dUTP,179101-49-6,C12H18N3O14P3,521.2,≥ 90% (HPLC),nucleotides_nucleosides,,21,"['5(Propargylamino)-2′deoxyuridine5′triphosphate', ' 5-Propargyl-dUTP']",C1[C@@H]([C@H](O[C@H]1N2C=C(C(=O)NC2=O)C#CCN)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O,-20°C,,,,,,,,,,
SC8022,5-Propynyl-dUTP,,C12H17N2O14P3,506.2,≥ 90% (HPLC),nucleotides_nucleosides,,21,"[""5-Propynyl-2'-deoxyuridine-5'-Triphosphate""]",,-20°C,,,,,,,,,,
SC8023,5-Iodo-dUTP,3731-55-3,C9H14N2O14P3I,,≥ 90% (HPLC),nucleotides_nucleosides,,21,"[""5-Iodo-2'-deoxyuridine-5'-Triphosphate""]",C1[C@@H]([C@H](O[C@H]1N2C=C(C(=O)NC2=O)I)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O,-20°C,,,,,,,,,,
SC8024,5-Formyl-dUTP,,C₁₀H₁₅N₂O₁₅P₃,496.1,≥ 90% (HPLC),nucleotides_nucleosides,,21,"[""5-Formyl-2'-deoxyuridine-5'-Triphosphate""]",,-20°C,,,,,,,,,,
SC8025,Cy3-UTP,,C43H56N5O22P3S2,,≥ 90% (HPLC),nucleotides_nucleosides,,23,"[""Cy3-uridine-5'-triphosphate"", ' Cyanine 3-UTP']",,-20°C,,,,,,,,,,
SC8026,Cy5-UTP,,C45H58N5O22P3S2,,≥ 90% (HPLC),nucleotides_nucleosides,,23,"[""Cy5-uridine-5'-triphosphate"", ' Cyanine 5-UTP']",CCN\1C2=C(C=C(C=C2)S(=O)(=O)[O-])C(/C1=C/C=C/C=C/C3=[N+](C4=C(C3(C)C)C=C(C=C4)S(=O)(=O)O)CCCCCC(=O)NC/C=C/C5=CN(C(=O)NC5=O)[C@H]6[C@H]([C@H]([C@H](O6)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)(C)C,-20°C,,,,,,,,,,
SC8027,4-Thio-UTP,31556-28-2,C9H15N2O14P3S,500.2,≥ 90% (HPLC),nucleotides_nucleosides,,10,"[""4-Thiouridine-5'-Triphosphate"", ' s4UTP']",C1=CN(C(=O)NC1=S)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O,-20°C,,,,,,,,,,
SC8028,5-Carboxy-UTP,,C10H15N2O17P3,528.1,≥ 90% (HPLC),nucleotides_nucleosides,,10,"[""5-Carboxyuridine-5'-Triphosphate"", ' 5-caUTP']",,-20°C,,,,,,,,,,
SC8029,5-Hydroxy-UTP,,C9H15N2O16P3,500.1,≥ 90% (HPLC),nucleotides_nucleosides,,10,"['5-Hydroxyuridine-5’-Triphosphate', ' 5-hoUTP']",,-20°C,,,,,,,,,,
SC8030,5-Carboxy-dUTP,,C10H15N2O16P3,512.1,≥ 90% (HPLC),nucleotides_nucleosides,,21,"[""5-Carboxy-2'-deoxyuridine-5'-Triphosphate"", ' 5-cadUTP']",,-20°C,,,,,,,,,,
SC8031,5-Indolyl-AA-dUTP,,C₂₃H₂₉N₄O₁₅P₃,694.4,≥ 90% (HPLC),nucleotides_nucleosides,,21,"[""5-[(3-Indolyl) propionamide-N-allyl]-2'-deoxyuridine-5'-Triphosphate""]",,-20°C,,,,,,,,,,
SC8032,5-Methyl-3'-dUTP,,C10H17N2O14P3,482.1,≥ 90% (HPLC),nucleotides_nucleosides,,21,"[""3'-Deoxy-5-Methyluridine-5'-Triphosphate""]",,-20°C,,,,,,,,,,
SC8033,5-Methyl-3'-UTP,,C10H17N2O15P3,498.2,≥ 90% (HPLC),nucleotides_nucleosides,,10,"[""5-Methyluridine-5'-TriphosphateCAS number: 23198-01-8""]",,-20°C,,,,,,,,,,
SC8034,5-Ethynyl-dUTP,111289-87-3,C11H15N2O14P3,492.2,≥ 90% (HPLC),nucleotides_nucleosides,,21,['5-Ethynyl-2′-deoxyuridine 5′-triphosphate，5-EdUTP'],C#CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O,-20°C,,,,,,,,,,
SC8035,2'-Fluoro-dUTP,66840-02-6,C9H14FN2O14P3,486.1,≥ 90% (HPLC),nucleotides_nucleosides,,21,"[""2'-Fluoro-2'-deoxyuridine-5'-triphosphate"", "" 2'F-dUTP""]",C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)F,-20°C,,,,,,,,,,
SC8036,2'-Fluoro-dATP,73449-07-7,C10H15N5O12P3F,509.2,≥ 90% (HPLC),nucleotides_nucleosides,,21,"[""2'-Fluoro-2'- deoxyadenosine-5'-triphosphate"", "" 2'F-dATP""]",C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)F)N,-20°C,,,,,,,,,,
SC8037,2'-Fluoro-dCTP,66840-03-7,C9H15FN3O13P3,485.2,≥ 90% (HPLC),nucleotides_nucleosides,,21,"[""2'-Fluoro-2'-deoxycytidine-5'-triphosphate"", "" 2'F-dCTP""]",C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)F,-20°C,,,,,,,,,,
SC8038,2'-Fluoro-dGTP,202186-97-8,C10H15FN5O13P3,525.2,≥ 90% (HPLC),nucleotides_nucleosides,,21,"[""2'-Fluoro-2'-deoxyguanosine-5'-triphosphate"", "" 2'F-dGTP""]",[Li+].[Li+].[Li+].[Li+].C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O)F)N=C(NC2=O)N,-20°C,,,,,,,,,,
SC8039,2'-Amino-dUTP,,C9H16N3O14P3,483.2,≥ 90% (HPLC),nucleotides_nucleosides,,21,"[""2'-Amino-2'-deoxyuridine-5'-Triphosphate"", "" 2'NH2-dUTP""]",,-20°C,,,,,,,,,,
SC8040,2'-Amino-dGTP,,C10H17N6O13P3,522.2,≥ 90% (HPLC),nucleotides_nucleosides,,21,"[""2'-Amino-2'-deoxyguanosine-5'-Triphosphate"", "" 2'NH2-dGTP""]",,-20°C,,,,,,,,,,
SC8041,2'-Amino-dCTP,,C9H17N4O13P3,482.2,≥ 90% (HPLC),nucleotides_nucleosides,,21,"[""2'-Amino-2'-deoxycytidine-5'-Triphosphate"", "" 2'NH2-dCTP""]",,-20°C,,,,,,,,,,
SC8042,2'-Amino-dATP,,C10H17N6O12P3,506.2,≥ 90% (HPLC),nucleotides_nucleosides,,21,"[""2'-Amino-2'-deoxyadenosine-5'-Triphosphate"", "" 2'NH2-dATP""]",,-20°C,,,,,,,,,,
SC8043,2'-Amino-ATP,,C10H17N6O13P3,522.2,≥ 90% (HPLC),nucleotides_nucleosides,,10,"[""2-Amino-adenosine-5'-Triphosphate"", "" 2'NH2-ATP"", ' DAP-rTP']",,-20°C,,,,,,,,,,
SC8044,2'-Azido-dUTP,106448-30-0,C₉H₁₄ N₅O₁₄P₃,509.2,≥ 90% (HPLC),nucleotides_nucleosides,,21,"[""2'-Azido-2'-deoxyuridine-5'-Triphosphate"", "" 2'N3-Dutp""]",C1=CN(C(=O)NC1=O)C2C(C(C(O2)CO)O)N=[N+]=[N-],-20°C,,,,,,,,,,
SC8045,2'-Azido-dGTP,,C10H15N8O13P3,548.2,≥ 90% (HPLC),nucleotides_nucleosides,,21,"[""2'-Azido-2'-deoxyguanosine-5'-Triphosphate"", "" 2'N3-dGTP""]",[Li+].[Li+].[Li+].C1=NC2=C(N1[C@H]3C([C@H]([C@H](O3)COP(=O)([O-])OP(=O)([O-])OP(=O)(O)[O-])O)N=[N+]=[N-])N=C(NC2=O)N,-20°C,,,,,,,,,,
SC8046,2'-Azido-dCTP,,C9H15N6O13P3,508.2,≥ 90% (HPLC),nucleotides_nucleosides,,21,"[""2'-Azido-2'-deoxycytidine-5'-Triphosphate"", "" 2'N3-dCTP""]",C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O)N=[N+]=[N-],-20°C,,,,,,,,,,
SC8047,2'-Azido-dATP,73449-06-6,C10H15N8O12P3,532.2,≥ 90% (HPLC),nucleotides_nucleosides,,21,"[""2'-Azido-2'-deoxyadenosine-5'-Triphosphate"", "" 2'N3-Datp""]",C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)N=[N+]=[N-])N,-20°C,,,,,,,,,,
SC8048,5-Bromo-2'-dCTP,30419-11-5,C9H15BrN3O13P3,546.1,≥ 90% (HPLC),nucleotides_nucleosides,,21,"[""5-Bromo-2'-deoxycytidine-5'-triphosphate"", ' 5-Br-dCTP']",C1[C@@H]([C@H](O[C@H]1N2C=C(C(=NC2=O)N)Br)COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O.[Na+].[Na+].[Na+].[Na+],-20°C,,,,,,,,,,
SC8049,5-Bromo-2'-dUTP,102212-99-7,C9H14N2O14P3Br,547.0,≥ 90% (HPLC),nucleotides_nucleosides,,21,"[""5-Bromo-2'- deoxyuridine-5'-triphosphate"", ' 5-Br-dUTP']",C1[C@@H]([C@H](O[C@H]1N2C=C(C(=O)NC2=O)Br)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O,-20°C,,,,,,,,,,
SC8050,7-Deaza-dATP,587848-72-4,C11H17N4O12P3,490.2,≥ 90% (HPLC),nucleotides_nucleosides,,21,"[""7-Deaza-2'-deoxyadenosine-5'-triphosphate""]",C1[C@@H]([C@H](O[C@H]1N2C=C(C3=C(N=CN=C32)N)C#CCN)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O,-20°C,,,,,,,,,,
SC8051,7-Deaza-dGTP,101515-08-6,C11H17N4O13P3,506.2,≥ 90% (HPLC),nucleotides_nucleosides,,21,"[""7-Deaza-2'-deoxyguanosine-5'-triphosphate""]",C1[C@@H]([C@H](O[C@H]1N2C=CC3=C2N=C(NC3=O)N)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O,-20°C,,,,,,,,,,
SC8052,dITP,95648-77-4,C₁₀H₁₅N₄O₁₃P₃,492.2,≥ 90% (HPLC),nucleotides_nucleosides,,10,"[""2'-Deoxyinosine-5'-Triphosphate""]",C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2N=CNC3=O)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[O-].C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2N=CNC3=O)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[O-].C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2N=CNC3=O)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[O-].[Na+].[Na+].[Na+],-20°C,,,,,,,,,,
SC8053,5-Propynyl-dCTP,327174-86-7,C₁₂H₁₈N₃O₁₃P₃,505.2,≥ 90% (HPLC),nucleotides_nucleosides,,21,"[""5-Propynyl-2'-deoxycytidine-5'-Triphosphate""]",CC1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O,-20°C,,,,,,,,,,
SC8054,5-Iodo-dCTP,31747-59-8,C9H15N3O13P3I,,≥ 90% (HPLC),nucleotides_nucleosides,,21,"[""5-Iodo-2'- deoxycytidine-5'-Triphosphate"", ' 5I-dCTP']",C1[C@@H]([C@H](O[C@H]1N2C=C(C(=NC2=O)N)I)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O,-20°C,,,,,,,,,,
SC8055,5-Iodo-CTP,59259-76-6,C9H15N3O14P3I,,≥ 90% (HPLC),nucleotides_nucleosides,,10,"[""5-Iodo-cytidine-5'-Triphosphate"", ' 5I-CTP']",C1=C(C(=NC(=O)N1C2C(C(C(O2)COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O)O)N)I.[Na+].[Na+].[Na+].[Na+],-20°C,,,,,,,,,,
SC8056,5-Methyl-dCTP,22003-12-9,C10H18N3O13P3,481.2,≥ 90% (HPLC),nucleotides_nucleosides,,21,"[""5-Methyl-2'-deoxycytidine-5'-triphosphate"", ' 5m-dCTP']",CC1=CN(C(=O)N=C1N)[C@H]2C[C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O,-20°C,,,,,,,,,,
SC8057,5-Methyl-CTP,327174-86-7,C10H18N3O14P3,497.2,≥ 90% (HPLC),nucleotides_nucleosides,,10,"[""5-Methylcytidine-5'-triphosphate"", ' 5-Me-CTP']",CC1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O,-20°C,,,,,,,,,,
SC8058,O6-Methyl-dGTP,,C11H18N5O13P3,521.2,≥ 90% (HPLC),nucleotides_nucleosides,,21,"[""O6-Methyl-2'-deoxyguanosine-5'-Triphosphate""]",,-20°C,,,,,,,,,,
SC8059,O6-Methyl-GTP,99404-63-4,C11H18N5O14P3,537.2,≥ 90% (HPLC),nucleotides_nucleosides,,10,"[""O6-Methylguanosine-5'-Triphosphate""]",COC1=NC(=NC2=C1N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N,-20°C,,,,,,,,,,
SC8060,N6-Methyl-dATP,5085-65-4,C11H18N5O12P3,505.2,≥ 90% (HPLC),nucleotides_nucleosides,,21,"[""N6-Methyl-2'-deoxyadenosine-5'-triphosphate"", ' m⁶dATP']",CNC1=C2C(=NC=N1)N(C=N2)[C@H]3[C@@H](C[C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O,-20°C,,,,,,,,,,
SC8061,N6-Methyl-ATP,3130-39-0,C11H18N5O13P3,521.2,≥ 90% (HPLC),nucleotides_nucleosides,,10,"[""N6-Methyl-adenosine-5'-triphosphate"", ' m⁶ATP']",CNC1=C2C(=NC=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O,-20°C,,,,,,,,,,
SC8062,N2-Methyl-dGTP,,C11H18N5O13P3,521.2,≥ 90% (HPLC),nucleotides_nucleosides,,21,"[""N2-Methyl-2'-deoxyguanosine-5'-Triphosphate""]",,-20°C,,,,,,,,,,
SC8063,8-Oxo-dATP(1),3056945-23-1,C10H16N5O13P3,507.2,≥ 90% (HPLC),nucleotides_nucleosides,,21,"[""8-Oxo-2'-deoxyadenosine-5'-triphosphate"", ' 8-Hydroxy-dATP']",[Li+].[Li+].[Li+].[Li+].C1[C@@H]([C@H](O[C@H]1N2C3=NC=NC(=C3NC2=O)N)COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O,-20°C,,,,,,,,,,
SC8064,8-Oxo-dGTP(1),139307-94-1,C10H16N5O14P3,523.2,≥ 90% (HPLC),nucleotides_nucleosides,,21,"[""8-Oxo-2'-deoxyguanosine-5'-triphosphate"", ' 8-Hydroxy-dGTP']",C1[C@@H]([C@H](O[C@H]1N2C3=C(C(=O)NC(=N3)N)NC2=O)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O,-20°C,,,,,,,,,,
SC8065,8-Oxo-GTP(1),21238-36-8,C10H16N5O15P3,539.2,≥ 90% (HPLC),nucleotides_nucleosides,,10,"[""8-Oxo-guanosine-5'-triphosphate"", ' 8-Hydroxy-GTP']",C([C@@H]1[C@H]([C@H]([C@@H](O1)N2C3=C(C(=O)NC(=N3)N)NC2=O)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O,-20°C,,,,,,,,,,
SC8066,8-Oxo-dGMP(1),127027-50-3,C10H14N5O8P,363.1,≥ 90% (HPLC),nucleotides_nucleosides,,21,"[""8-Oxo-2'-deoxyguanosine-5'-monophosphate"", ' 8-Hydroxy-dGMP']",C1[C@@H]([C@H](O[C@H]1N2C3=C(C(=O)NC(=N3)N)NC2=O)COP(=O)(O)O)O,-20°C,,,,,,,,,,
SC8067,8-Oxo-dGDP(1),,C10H15N5O11P2,443.2,≥ 90% (HPLC),nucleotides_nucleosides,,21,"[""8-Oxo-2'-deoxyguanosine-5'-diphosphate"", ' 8-Hydroxy-dGDP']",C1[C@@H]([C@H](O[C@H]1N2C3=C(C(=O)NC(=N3)N)NC2=O)COP(=O)(O)OP(=O)(O)O)O,-20°C,,,,,,,,,,
SC8068,2-thio-dTTP(1),,C10H17N2O13P3S,498.2,≥ 90% (HPLC),nucleotides_nucleosides,,10,"[""2-thio-2'-deoxythymidine-5'-triphosphate"", ' s²dTTP']",,-20°C,,,,,,,,,,
SC8069,2-thio-dCTP(1),,C9H16N3O12P3S,483.2,≥ 90% (HPLC),nucleotides_nucleosides,,21,"[""2-Thio-2'-deoxycytidine-5'-Triphosphate"", ' s²dCTP']",,-20°C,,,,,,,,,,
SC8070,2-thio-CTP(1),,C9H16N3O13P3S,499.2,≥ 90% (HPLC),nucleotides_nucleosides,,10,"[""2-Thiocytidine-5'-Triphosphate""]",,-20°C,,,,,,,,,,
SC8071,2-thio-UTP(1),35763-29-2,C9H15N2O14P3S,500.2,≥ 90% (HPLC),nucleotides_nucleosides,,10,"[""2-Thiouridine-5'-triphosphate"", ' s2UTP']",,-20°C,,,,,,,,,,
SC8072,6-thio-dGTP(1),17660-38-7,C10H16N5O12P3S,523.2,≥ 90% (HPLC),nucleotides_nucleosides,,21,"[""6-Thio-2'-deoxyguanosine-5'-triphosphate"", ' s⁶dGTP']",C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2NC(=NC3=S)N)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O,-20°C,,,,,,,,,,
SC8073,6-thio-GTP(1),17670-19-8,C10H16N5O13P3S,539.2,≥ 90% (HPLC),nucleotides_nucleosides,,10,"[""6-Thio-guanosine-5'-triphosphate"", ' s⁶GTP']",C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)NC(=NC2=S)N,-20°C,,,,,,,,,,
SC8074,6-thio-GMP(1),15867-02-4,C10H14N5O7PS,379.3,≥ 90% (HPLC),nucleotides_nucleosides,,10,"[""6-Thio-guanosine-5'-monophosphate"", ' s⁶GMP']",C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O)NC(=NC2=S)N,-20°C,,,,,,,,,,
SC8075,6-Aza-dUTP,,C8H14N3O14P3,469.1,≥ 90% (HPLC),nucleotides_nucleosides,,21,"[""6-Aza-2'-deoxyuridine-5'-Triphosphate""]",,-20°C,,,,,,,,,,
SC8076,6-Aza-UTP(1),,C8H14N3O15P3,485.1,≥ 90% (HPLC),nucleotides_nucleosides,,10,"[""6-Azauridine-5'-Triphosphate""]",,-20°C,,,,,,,,,,
SC8077,6-Aza-CTP(1),,C8H15N4O14P3,484.1,≥ 90% (HPLC),nucleotides_nucleosides,,10,"[""6-Azacytidine-5'-Triphosphate""]",,-20°C,,,,,,,,,,
SC8078,6-Aza-dCTP(1),,C8H15N4O13P3,468.1,≥ 90% (HPLC),nucleotides_nucleosides,,21,"[""5-Aza-2'-deoxycytidine-5'-triphosphate""]",,-20°C,,,,,,,,,,
SC8079,5-AA-dCTP(1),,C12H21N4O13P3,,≥ 90% (HPLC),nucleotides_nucleosides,,21,"['5(3aminoallyl)2′deoxycytidine5′triphosphate', ' AA-dCTP']",,-20°C,,,,,,,,,,
SC8080,5-AA-CTP(1),182700-18-0,C12H21N4O14P3,,≥ 90% (HPLC),nucleotides_nucleosides,,10,"[""5-Aminoallylcytidine-5'-Triphosphate"", ' AA-CTP']",C1=C(C(=NC(=O)N1[C@H]2[C@H](C([C@H](O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N)/C=C/CN,-20°C,,,,,,,,,,
SC8081,5-AA-dUTP(1),936327-10-5,C12H20N3O14P3,523.2,≥ 90% (HPLC),nucleotides_nucleosides,,21,"[""5-(3-Aminoallyl)-2'-deoxyuridine-5'-triphosphate"", ' AA-dUTP']",,-20°C,,,,,,,,,,
